City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
168,Isangel,VU,80.24,overcast clouds,-19.55,169.2667,Tanna Lodge
169,Aborlan,PH,78.28,overcast clouds,9.4352,118.5492,Kevina Transient House
173,Manono,CD,70.54,overcast clouds,-7.3,27.4167,Hotel hewa bora
177,Mayahi,NE,86.67,overcast clouds,13.9553,7.6712,
178,Campoverde,PE,82.09,few clouds,-8.4753,-74.8058,Hospedaje Coral's
180,Bandarbeyla,SO,79.29,overcast clouds,9.4942,50.8122,JABIR HOTEL
181,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
183,Kintampo,GH,78.93,light rain,8.0563,-1.7306,Adomaa Memorial Hotel
186,El Alto,PE,83.86,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
188,Nsoko,SZ,76.26,overcast clouds,-27.0333,31.95,
189,Laguna,US,78.78,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
191,Henderson,US,80.04,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
197,Mahudha,IN,84.38,clear sky,22.8167,72.9333,Masala pavbhaji and pulav
200,Sinnamary,GF,79.23,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
203,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
204,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
205,Kirakira,SB,80.71,overcast clouds,-10.4544,161.9205,SanBiz Lodge
206,Umm Kaddadah,SD,84.74,overcast clouds,13.6017,26.6876,
208,Boundiali,CI,86.31,overcast clouds,9.5217,-6.4869,Hotel Paysan Boundiali
217,Loreto,MX,83.97,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
219,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
222,Meadow Lake,US,73.71,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
224,Mar Del Plata,AR,75.22,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
225,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
226,Okitipupa,NG,80.24,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
228,Saint George,US,75.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
230,Upata,VE,82.71,overcast clouds,8.0086,-62.3989,Posada Villa Nela
231,Tarakan,ID,78.84,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
235,Tabou,CI,80.47,overcast clouds,4.423,-7.3528,hotêl doufoulougou
236,Santa Cruz,BO,86.05,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
240,Gorontalo,ID,75.0,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
242,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
251,La Cruz,MX,76.66,clear sky,23.9167,-106.9,Jesús angel
252,Pozo Colorado,PY,89.91,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
253,Fomboni,KM,82.89,clear sky,-12.28,43.7425,Auberge les abou
255,Picos,BR,88.99,broken clouds,-7.0769,-41.4669,Entre Rios Hotel
257,Kisangani,CD,71.31,broken clouds,0.5167,25.2,Grand Ramela Hotel
260,Chhagalnaiya,BD,76.73,clear sky,23.03,91.5069,Nurul Amin mansion নুরুল আমিন ম্যানশন
263,Seminole,US,83.14,few clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
264,Francisco Beltrao,BR,78.26,broken clouds,-26.0811,-53.055,Cristal Palace Hotel
267,Manadhoo,MV,82.96,clear sky,5.7667,73.3833,Bon Abri maldives
271,Vallenar,CL,82.26,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
273,Harper,LR,80.31,overcast clouds,4.375,-7.7169,Screensaver
275,Lima,PE,73.38,clear sky,-12.0432,-77.0282,Hotel Kamana
282,Campo Grande,BR,80.15,thunderstorm,-20.4428,-54.6464,OYO Athenas Apart Hotel
283,Ampanihy,MG,70.75,clear sky,-24.7,44.75,Angora Hotel
284,Chapada Dos Guimaraes,BR,82.06,light rain,-15.4606,-55.7497,Pousada Morro Dos Ventos
285,Acarau,BR,79.95,moderate rain,-2.8856,-40.12,castelo pizzaria
287,Maturin,VE,88.7,broken clouds,9.75,-63.1767,Hotel Residencial La Pichincha
289,Banjar,ID,75.49,few clouds,-8.19,114.9675,The Hamsa Resort
290,Faanui,PF,81.82,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
293,Mecca,SA,83.8,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
294,Lindi,TZ,74.79,scattered clouds,-10.0,39.7167,Lindi paradise house
295,Chuy,UY,71.62,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
298,Mitsamiouli,KM,81.7,few clouds,-11.3847,43.2844,Foyer ADM
306,Makakilo City,US,77.32,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
308,Manacapuru,BR,76.68,light rain,-3.2997,-60.6206,Novo Hotel
312,Pimentel,PE,82.69,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
313,Cabo San Lucas,MX,77.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
316,Vila Velha,BR,84.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
318,Ambon,ID,80.53,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
319,Pauini,BR,85.98,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
323,Diego De Almagro,CL,78.28,clear sky,-26.3667,-70.05,hotel luna del desierto
324,Robertsport,LR,79.43,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
325,Luwuk,ID,77.88,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
327,Mackay,AU,75.69,light intensity shower rain,-21.15,149.2,International Lodge Motel
329,Atar,MR,77.85,clear sky,20.5169,-13.0499,Oumou Elghoura
331,Bull Savanna,JM,82.4,clear sky,17.8868,-77.5902,Big Red's
332,Baependi,BR,72.91,broken clouds,-21.9589,-44.89,Pousada Condado Santa Maria
333,Binulasan,PH,78.94,broken clouds,14.7317,121.6986,Blue Pavilion Beach Resort
335,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
337,Morgan City,US,84.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
340,Bondo,CD,72.41,broken clouds,3.8146,23.6866,
342,Riyadh,SA,80.74,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
343,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
347,Puerto Madero,MX,85.73,clear sky,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
349,Anicuns,BR,78.96,broken clouds,-16.4611,-49.9617,Hotel Florida
350,Matara,LK,77.25,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
351,Springdale,US,71.74,clear sky,36.1867,-94.1288,Springdale Inn
355,Phan Thiet,VN,76.53,overcast clouds,10.9333,108.1,Hotel Saigon-PT
357,Dolores,AR,72.27,scattered clouds,-36.3132,-57.6792,Apart Hotel - Arianos
359,Madimba,TZ,78.19,broken clouds,-10.4,40.3333,
362,Damaturu,NG,85.42,few clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
364,Antalaha,MG,76.01,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
368,Namatanai,PG,78.37,light rain,-3.6667,152.4333,Seagulls Inn Namatani
371,Labuhan,ID,75.49,overcast clouds,-6.8844,112.2051,DoubleFAG
373,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
379,Tumaco,CO,83.55,light rain,1.7986,-78.8156,Unión Victoria
380,Oeiras Do Para,BR,82.33,overcast clouds,-2.0031,-49.8544,Araticu Soft Hotel
381,Tanout,NE,86.79,overcast clouds,14.9709,8.8879,
385,Omboue,GA,78.1,broken clouds,-1.5746,9.2618,Hotel Olako
390,Pahrump,US,78.44,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
391,Morro Bay,US,74.59,overcast clouds,35.3658,-120.8499,Inn at Morro Bay
393,Beira,MZ,80.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
394,Bansi,IN,75.65,clear sky,27.1833,82.9333,सबलू गाडी धुलाई सेंटर
397,Roswell,US,71.78,clear sky,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
398,Dimbokro,CI,83.52,overcast clouds,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
399,Wattegama,LK,73.94,clear sky,6.7989,81.4808,
401,Mainit,PH,77.13,overcast clouds,9.535,125.5231,Kasili Lakeside Resort and Hotel
403,Srandakan,ID,76.21,overcast clouds,-7.9386,110.2506,Puri Brata
404,Salinopolis,BR,81.73,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
405,Avera,US,74.37,clear sky,33.194,-82.5271,
406,Ambulu,ID,74.32,clear sky,-8.345,113.6058,Hotel Ambulu Jember
412,Aurad,IN,88.36,broken clouds,18.25,77.4333,krishnakanth boode
413,Buraydah,SA,79.25,broken clouds,26.326,43.975,Mövenpick Qassim
415,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
416,Sokoto,NG,88.29,few clouds,13.0609,5.239,Grand Ibro Hotel
421,Camana,PE,72.27,broken clouds,-16.6228,-72.7111,Hostal Morales
424,Santiago Del Estero,AR,83.26,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
425,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
427,Manthani,IN,88.84,scattered clouds,18.65,79.6667,"Sri Sai bike Paint,manthani"
428,Niquelandia,BR,84.07,broken clouds,-14.4739,-48.4597,Hotel Suinã
429,Santa Isabel Do Rio Negro,BR,81.12,moderate rain,-0.4139,-65.0192,Hotel GSA
432,Gamba,GA,77.54,overcast clouds,-2.65,10.0,
433,Kaithal,IN,74.93,broken clouds,29.8,76.3833,Koel Complex
434,Ixtapa,MX,78.03,clear sky,20.7,-105.2,hotel la terminal
438,Bambous Virieux,MU,80.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
439,Iracoubo,GF,79.18,moderate rain,5.4802,-53.2011,Le Gîte d’Iracoubo
442,Moron,AR,73.29,overcast clouds,-34.6534,-58.6198,Hotel Morón
444,Caravelas,BR,80.02,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
448,San Ramon De La Nueva Oran,AR,88.43,clear sky,-23.1322,-64.326,Hotel Residencial Centro
455,Howard Springs,AU,80.51,scattered clouds,-12.497,131.047,buffalo beach hostel
457,Ukiah,US,73.36,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
458,Touros,BR,79.02,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
462,Richards Bay,ZA,75.47,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
464,Neka,IR,70.86,clear sky,36.6508,53.299,گالری گل وندا
466,Kiunga,PG,72.43,scattered clouds,-6.1219,141.2906,Airport Lodge Kiunga
473,Chimbote,PE,73.87,few clouds,-9.0853,-78.5783,Hotel Briliá
478,Kudahuvadhoo,MV,82.8,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
480,Talara,PE,86.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
483,Manubul,PH,81.21,broken clouds,5.4732,120.7986,
485,Saint-Joseph,RE,73.78,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
486,Peruibe,BR,76.41,broken clouds,-24.32,-46.9983,Hotel Pousada Xapuri
487,Waddan,LY,80.89,clear sky,29.1614,16.139,محل الشريف محمد العايب
488,Daurala,IN,76.21,clear sky,29.1167,77.6833,SAGAR KATARIYA
491,Birao,CF,88.83,broken clouds,10.2849,22.7882,
492,Valera,VE,83.28,overcast clouds,9.3178,-70.6036,Hotel Camino Real
494,Nizwa,OM,77.72,clear sky,22.9333,57.5333,Orient Apartments
495,Nioro,GM,80.83,overcast clouds,13.35,-15.75,
496,Dickinson,US,84.09,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
498,Samarai,PG,80.8,overcast clouds,-10.6167,150.6667,Nuli Sapi
501,Hobyo,SO,81.61,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
503,Kota Kinabalu,MY,75.18,few clouds,5.9749,116.0724,Gaya Centre Hotel
505,San Bartolo Del Llano,MX,75.69,overcast clouds,19.5908,-99.7439,Motel el gaucho
508,Biu,NG,85.98,overcast clouds,10.6129,12.1946,Emir's Palace
510,Nova Olimpia,BR,85.23,clear sky,-14.7972,-57.2881,Motel glamour
511,Santa Fe,AR,82.0,scattered clouds,-31.6333,-60.7,Conquistador Hotel
513,Sembe,CG,71.96,light rain,1.6481,14.5806,
514,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
518,Manggar,ID,77.81,broken clouds,-2.8833,108.2667,Guest Hotel
519,Sorong,ID,78.03,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
520,Russell,US,75.06,clear sky,32.3502,-85.1999,Macs
523,Morro Agudo,BR,80.46,scattered clouds,-20.7314,-48.0578,Hotel Morro Agudo
527,Thoen,TH,70.7,scattered clouds,17.6129,99.2161,บ้านห้องนอน
529,Malinyi,TZ,72.07,scattered clouds,-8.9333,36.1333,
531,Meulaboh,ID,74.25,overcast clouds,4.1363,96.1285,Kost Pria
532,Kalabo,ZM,73.62,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
536,Lake Charles,US,82.62,clear sky,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
540,Tallahassee,US,79.0,clear sky,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
541,Kochi,IN,78.78,scattered clouds,9.9399,76.2602,Trident Hotel Cochin
546,Kadhan,PK,79.56,clear sky,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
547,Isiolo,KE,72.0,overcast clouds,0.3546,37.5822,Gaddisa Hotel
554,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
556,Ternate,ID,79.75,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
559,Mahibadhoo,MV,82.6,few clouds,3.7833,72.9667,Omadhoo Inn
561,Ajdabiya,LY,78.64,clear sky,30.7554,20.2263,Almadina Hotel
566,Virginia Beach,US,71.64,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
567,Grand Gaube,MU,80.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
568,Ratnagiri,IN,78.93,few clouds,16.9833,73.3,Hotel Landmark
571,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
575,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
580,Sandakan,MY,76.68,few clouds,5.8402,118.1179,Hotel Sandakan
584,Sebastian,US,74.08,few clouds,35.1668,-94.2669,
585,Djambala,CG,71.01,light rain,-2.5447,14.7533,Hotel Ravin D'or
589,Cayenne,GF,82.44,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
590,Sao Joao Da Barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
593,Masuguru,TZ,72.88,scattered clouds,-11.3667,38.4167,
594,Kulhudhuffushi,MV,82.96,few clouds,6.6221,73.07,Haajy Guest House 1
595,Atambua,ID,71.01,few clouds,-9.1061,124.8925,Kost Alfa Flat
600,Kupang,ID,76.3,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
601,Merauke,ID,77.32,scattered clouds,-8.4667,140.3333,
603,Jiwani,PK,78.22,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
604,Ponnani,IN,81.72,broken clouds,10.767,75.9252,Rouba Residency
605,Hajipur,IN,78.78,mist,25.6833,85.2167,Sunderwati Niketan
608,Tasgaon,IN,80.82,overcast clouds,17.0333,74.6,Hotel Shree Siddhivinayak
610,Garowe,SO,76.08,broken clouds,8.4054,48.4845,Curubo Hotel
611,Kieta,PG,79.11,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
612,Morondava,MG,81.57,scattered clouds,-20.2833,44.2833,La Case Bambou
619,Ugoofaaru,MV,82.81,clear sky,5.6667,73.0,Ungoofaaru Inn
622,Srivardhan,IN,78.35,few clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
625,Havelock,US,75.18,clear sky,34.8791,-76.9013,Sherwood Motel
626,Kindu,CD,71.53,light rain,-2.95,25.95,Résidence Okanda
627,Catuday,PH,77.77,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
630,Saint-Pierre,RE,74.88,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
632,Pangobilian,PH,78.96,overcast clouds,8.8011,117.8594,Sir Brooke's Resort
635,Pizarro,CO,82.69,overcast clouds,4.9533,-77.366,Hotel Limonar
642,Gizo,SB,82.2,overcast clouds,-8.103,156.8419,Imagination Island
644,Chhuikhadan,IN,84.02,clear sky,21.5333,80.9833,PWD Rest House
645,Muli,MV,82.74,clear sky,2.9167,73.5667,Medhufushi Island Resort
646,Mangan,IN,70.09,overcast clouds,27.5167,88.5333,Hotel Mout View
655,Nushki,PK,71.46,clear sky,29.5542,66.0215,Shams hotel
658,Sembakung,ID,73.22,broken clouds,3.8167,117.25,
659,Hambantota,LK,78.1,few clouds,6.1241,81.1185,Bungalow 63
664,Micheweni,TZ,82.24,scattered clouds,-4.9667,39.8333,
671,Teshie,GH,84.76,few clouds,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
672,Praxedis Guerrero,MX,81.07,overcast clouds,31.3667,-106.0167,Congregación placitas de Otero
676,Maldonado,UY,74.59,broken clouds,-34.6667,-54.9167,La Cimarrona
678,Vieques,PR,85.84,broken clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
680,Santa Rosa,PH,80.02,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
681,Katherine,AU,75.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
682,Port Keats,AU,78.85,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
683,Aripuana,BR,83.07,overcast clouds,-9.1667,-60.6333,
685,Liku,ID,75.11,overcast clouds,-0.7275,119.8922,Wahyu
687,Stephenville,US,85.15,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
