City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
66,Karaton,100,ID,2022-04-03 16:02:05,90,-6.3424,106.1045,74.21,4.21
67,Palmer,100,US,2022-04-03 15:59:42,39,42.1584,-72.3287,52.25,1.99
68,Doha,0,QA,2022-04-03 15:58:49,47,25.2867,51.5333,80.58,8.05
69,Iqaluit,75,CA,2022-04-03 16:00:14,86,63.7506,-68.5145,26.33,18.41
70,Torit,100,SS,2022-04-03 16:00:20,35,4.4133,32.5678,87.08,1.41
71,Poum,100,NC,2022-04-03 16:02:06,81,-20.2333,164.0167,81.79,18.75
72,Alta Floresta,62,BR,2022-04-03 16:00:14,80,-9.8756,-56.0861,81.3,2.84
73,Pacific Grove,100,US,2022-04-03 15:58:29,91,36.6177,-121.9166,51.91,3.44
74,Rawson,100,AR,2022-04-03 15:58:28,37,-43.3002,-65.1023,58.82,21.83
75,Narsaq,99,GL,2022-04-03 16:02:07,61,60.9167,-46.05,41.22,4.14
76,Provideniya,0,RU,2022-04-03 16:02:08,74,64.3833,-173.3,1.4,9.17
77,General Macarthur,99,PH,2022-04-03 16:02:08,93,11.2464,125.5394,76.98,6.29
78,Castro,100,BR,2022-04-03 16:01:21,86,-24.7911,-50.0119,66.06,7.47
79,Cabo San Lucas,4,MX,2022-04-03 16:02:09,59,22.8909,-109.9124,74.52,1.99
80,Vaini,6,TO,2022-04-03 16:02:09,76,-21.2,-175.2,79.32,6.13
81,Brae,100,GB,2022-04-03 16:02:10,95,60.3964,-1.353,42.22,20.4
82,Mpulungu,94,ZM,2022-04-03 16:02:10,79,-8.7623,31.1141,74.34,1.25
83,Rio Gallegos,40,AR,2022-04-03 15:58:35,43,-51.6226,-69.2181,53.65,29.93
84,Lagoa,5,PT,2022-04-03 16:02:11,79,39.05,-27.9833,59.31,21.34
85,College,100,US,2022-04-03 16:02:11,77,64.8569,-147.8028,10.9,2.77
86,Qurayyat,47,SA,2022-04-03 16:02:11,11,31.3318,37.3428,80.87,14.99
87,Providencia,36,MX,2022-04-03 16:02:12,74,28.7167,-111.5833,71.2,7.7
88,Hobyo,7,SO,2022-04-03 16:02:12,73,5.3505,48.5268,82.47,9.8
89,Norman Wells,100,CA,2022-04-03 16:02:12,96,65.282,-126.8329,-5.76,2.48
90,Atuona,90,PF,2022-04-03 16:03:13,71,-9.8,-139.0333,79.27,23.33
91,Upernavik,75,GL,2022-04-03 16:03:13,79,72.7868,-56.1549,18.21,6.62
92,Alofi,74,NU,2022-04-03 16:03:13,73,-19.0595,-169.9187,79.81,9.48
93,Orange Walk,100,BZ,2022-04-03 16:03:14,64,17.8333,-88.8333,82.11,4.27
94,Port Elizabeth,75,ZA,2022-04-03 16:03:14,94,-33.918,25.5701,69.1,11.5
95,Amga,100,RU,2022-04-03 16:03:14,98,60.8953,131.9608,4.98,1.25
96,Tevaitoa,12,PF,2022-04-03 16:03:15,76,-16.7833,-151.5,81.36,8.86
97,Kodiak,93,US,2022-04-03 16:03:15,92,57.79,-152.4072,32.79,5.41
98,Bissau,100,GW,2022-04-03 16:00:29,43,11.8636,-15.5977,86.13,13.24
99,Ancud,65,CL,2022-04-03 16:03:16,68,-41.8697,-73.8203,50.23,7.58
100,Nanortalik,99,GL,2022-04-03 16:03:16,81,60.1432,-45.2371,38.1,3.62
101,Atar,0,MR,2022-04-03 15:59:36,8,20.5169,-13.0499,90.64,18.88
102,Batagay,75,RU,2022-04-03 16:03:16,100,67.6333,134.6333,-10.61,1.39
103,Dryden,100,CA,2022-04-03 16:03:17,85,49.7833,-92.7503,30.87,2.64
104,Dikson,86,RU,2022-04-03 16:03:17,99,73.5069,80.5464,-0.94,9.71
105,Novovyazniki,100,RU,2022-04-03 16:03:17,94,56.1975,42.1711,30.9,9.22
106,Ishigaki,100,JP,2022-04-03 16:03:18,76,24.3448,124.1572,69.03,26.08
107,Panguna,42,PG,2022-04-03 16:03:18,96,-6.3164,155.4848,67.86,1.43
108,Soledade,100,BR,2022-04-03 16:03:18,91,-28.8183,-52.5103,63.16,5.73
109,Bethel,100,US,2022-04-03 16:03:19,78,41.3712,-73.414,48.69,3.44
110,Cherskiy,100,RU,2022-04-03 16:03:19,99,68.75,161.3,-4.29,4.16
111,Dwarka,0,IN,2022-04-03 16:03:19,72,22.2394,68.9678,79.56,10.27
112,Aden,2,YE,2022-04-03 16:02:39,68,12.7794,45.0367,82.51,11.68
113,Port Alfred,56,ZA,2022-04-03 16:03:20,84,-33.5906,26.891,73.18,3.0
114,Lebu,7,CL,2022-04-03 16:01:32,60,-37.6167,-73.65,56.05,10.83
115,Skibotn,17,NO,2022-04-03 16:03:20,77,69.3913,20.2679,24.37,9.17
116,Port Moresby,100,PG,2022-04-03 16:03:21,88,-9.4431,147.1797,74.95,5.48
117,Jamestown,100,US,2022-04-03 16:00:28,70,42.097,-79.2353,34.52,7.0
118,Qasigiannguit,96,GL,2022-04-03 16:03:21,87,68.8193,-51.1922,30.45,5.66
119,Longyearbyen,43,SJ,2022-04-03 16:03:21,61,78.2186,15.6401,8.44,24.16
120,Dunedin,49,NZ,2022-04-03 16:03:22,77,-45.8742,170.5036,56.8,1.01
121,Saldanha,0,ZA,2022-04-03 16:03:22,68,-33.0117,17.9442,65.08,6.69
122,Kamarion,100,GR,2022-04-03 16:03:22,73,36.8,25.8167,60.75,15.05
123,Lata,13,PT,2022-04-03 16:03:23,23,40.1629,-8.3327,56.8,12.12
124,Port Hedland,0,AU,2022-04-03 16:03:23,83,-20.3167,118.5667,80.65,9.22
125,Sorland,90,NO,2022-04-03 16:03:23,74,67.667,12.6934,33.66,21.05
126,Yasnyy,95,RU,2022-04-03 16:03:24,84,51.0333,59.8742,40.41,16.22
127,Khandbari,50,NP,2022-04-03 16:03:24,77,27.3747,87.2039,69.84,3.6
128,Torbay,97,CA,2022-04-03 16:03:19,80,47.6666,-52.7314,41.58,11.99
129,Oranjemund,5,NA,2022-04-03 16:03:25,80,-28.55,16.4333,63.54,7.16
130,Port Lincoln,27,AU,2022-04-03 16:03:25,81,-34.7333,135.8667,60.48,4.47
131,George,61,ZA,2022-04-03 16:00:10,82,-33.963,22.4617,63.41,3.67
132,Hofn,100,IS,2022-04-03 16:03:25,92,64.2539,-15.2082,38.93,12.55
133,Pisco,52,PE,2022-04-03 16:04:26,83,-13.7,-76.2167,69.03,8.7
134,Lompoc,100,US,2022-04-03 16:04:26,88,34.6391,-120.4579,59.13,6.91
135,Hermanus,24,ZA,2022-04-03 16:04:26,66,-34.4187,19.2345,69.8,13.02
136,Hithadhoo,33,MV,2022-04-03 16:04:27,69,-0.6,73.0833,83.75,4.79
137,Mareeba,100,AU,2022-04-03 16:04:27,93,-17.0,145.4333,72.32,1.86
138,Santa Rosa,100,PH,2022-04-03 16:03:33,72,14.3122,121.1114,81.1,10.74
139,Forestville,40,US,2022-04-03 16:01:37,45,38.8451,-76.875,59.95,19.57
140,Kulhudhuffushi,15,MV,2022-04-03 16:04:28,69,6.6221,73.07,83.43,1.9
141,Yamada,70,JP,2022-04-03 16:04:28,87,39.4667,141.95,41.52,5.68
142,Leningradskiy,99,RU,2022-04-03 16:04:28,100,69.3833,178.4167,-21.77,3.09
143,Oudtshoorn,83,ZA,2022-04-03 16:04:29,55,-33.5907,22.2014,71.08,8.34
144,Toamasina,0,MG,2022-04-03 16:04:29,87,-18.1667,49.3833,77.02,9.19
145,Hasaki,100,JP,2022-04-03 16:04:29,63,35.7333,140.8333,48.6,19.22
146,Puerto Escondido,0,MX,2022-04-03 16:03:37,78,15.85,-97.0667,83.23,6.91
147,Georgetown,40,MY,2022-04-03 16:04:30,83,5.4112,100.3354,78.73,0.0
148,Saint George,40,US,2022-04-03 16:04:30,28,37.1041,-113.5841,66.79,4.61
149,Asau,100,RO,2022-04-03 16:04:30,100,46.4333,26.4,37.96,4.38
150,Vung Tau,100,VN,2022-04-03 16:04:31,73,10.346,107.0843,81.61,16.49
151,Valkeakoski,100,FI,2022-04-03 16:04:31,73,61.2642,24.0312,34.43,7.85
152,Kaitangata,76,NZ,2022-04-03 16:04:31,95,-46.2817,169.8464,46.45,4.99
153,Fundu Moldovei,100,RO,2022-04-03 16:04:32,92,47.5333,25.4,31.55,4.99
154,Dingle,60,PH,2022-04-03 16:04:32,87,10.9995,122.6711,76.1,6.44
155,Pitimbu,17,BR,2022-04-03 16:04:32,73,-7.4706,-34.8086,84.79,14.58
156,Silvan,46,TR,2022-04-03 16:04:33,55,38.1419,41.0081,68.29,3.74
157,Bluff,67,NZ,2022-04-03 16:04:33,73,-46.6,168.3333,56.77,12.03
158,Voznesenye,99,RU,2022-04-03 16:04:33,92,61.0106,35.4781,24.28,2.3
159,Tiksi,100,RU,2022-04-03 16:04:34,98,71.6872,128.8694,4.68,7.85
160,Byron Bay,21,AU,2022-04-03 16:04:34,86,-28.65,153.6167,64.94,9.84
161,Carnarvon,3,AU,2022-04-03 16:04:34,79,-24.8667,113.6333,77.41,10.74
162,Yellowknife,88,CA,2022-04-03 16:01:14,77,62.456,-114.3525,10.42,12.17
163,Severo-Kurilsk,23,RU,2022-04-03 16:04:35,86,50.6789,156.125,29.07,12.68
164,Mizusawa,88,JP,2022-04-03 16:04:35,86,39.1333,141.1333,43.92,2.1
165,Valparaiso,0,CL,2022-04-03 16:01:13,60,-33.0393,-71.6273,69.44,10.36
166,Tiarei,24,PF,2022-04-03 16:04:36,79,-17.5333,-149.3333,78.82,7.2
